id,productNumber,productTitle,urlSegment,canonicalUrl,smallImagePath,mediumImagePath,largeImagePath,brand
8225743f-994d-4168-9b86-c42d0894f286,5998675-001,***SEAL***,5998675-001-eaton,/Product/5998675-001-eaton,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/eaton/isometric_imagel_500x500_72_5998675-001500x500_72dpi.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/eaton/isometric_imagel_500x500_72_5998675-001500x500_72dpi.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/eaton/isometric_imagel_500x500_72_5998675-001500x500_72dpi.jpg,DANFOSS
daa1dacc-d383-4b72-beed-92d25d45ba05,104166-025,+ O-RING,104166-025-EATON,/Product/104166-025-EATON,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/danfoss-logo_300.png,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/danfoss-logo_300.png,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/danfoss-logo_300.png,DANFOSS
dd74734f-5704-4eff-8713-24c2737a13e0,14716-001,10K INNER FACE PEEK SEAL,14716-001-eaton,/Product/14716-001-eaton,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/danfoss-logo_300.png,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/danfoss-logo_300.png,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/danfoss-logo_300.png,DANFOSS
15c368e6-8aa7-4524-9227-d6b11046c15e,14717-001,10K OUTER PEEK SEAL,14717-001-eaton,/Product/14717-001-eaton,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/danfoss-logo_300.png,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/danfoss-logo_300.png,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/danfoss-logo_300.png,DANFOSS
4dd581c4-a110-495f-8482-bcead9a4ab47,9004-002,10K QUAD RING SEAL,9004-002-eaton,/Product/9004-002-eaton,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/eaton/isometric_imagel_500x500_72_9004-002500x500_72dpi.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/eaton/isometric_imagel_500x500_72_9004-002500x500_72dpi.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/eaton/isometric_imagel_500x500_72_9004-002500x500_72dpi.jpg,DANFOSS
7183af6b-3bc3-4ec1-b601-bdd7ffe06264,15045-000,10K SEAL,15045-000-eaton,/Product/15045-000-eaton,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/eaton/isometric_imagel_500x500_72_15045-000500x500_72dpi.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/eaton/isometric_imagel_500x500_72_15045-000500x500_72dpi.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/eaton/isometric_imagel_500x500_72_15045-000500x500_72dpi.jpg,DANFOSS
84d34c4f-94a0-4c9e-b8d4-aa54a318220c,199809,11-004 ORING,199809-eaton,/Product/199809-eaton,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/danfoss-logo_300.png,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/danfoss-logo_300.png,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/danfoss-logo_300.png,DANFOSS
53a3ab3c-ab44-4329-82b4-7f6164df0443,154000,11-006 ORING,154000-eaton,/Product/154000-eaton,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/eaton/isometric_imagel_500x500_72_154000500x500_72dpi.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/eaton/isometric_imagel_500x500_72_154000500x500_72dpi.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/eaton/isometric_imagel_500x500_72_154000500x500_72dpi.jpg,DANFOSS
ef32d5b1-4aa9-4b9e-a301-01b682022736,154001,11-007 ORING BUNA 70,154001-eaton,/Product/154001-eaton,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/eaton/isometric_imagel_500x500_72_154001500x500_72dpi.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/eaton/isometric_imagel_500x500_72_154001500x500_72dpi.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/eaton/isometric_imagel_500x500_72_154001500x500_72dpi.jpg,DANFOSS
96456a8c-2c17-4923-823d-3f77bcde898e,154002,11-008 O-RING,154002-eaton,/Product/154002-eaton,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/danfoss-logo_300.png,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/danfoss-logo_300.png,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/danfoss-logo_300.png,DANFOSS
