id,productNumber,productTitle,urlSegment,canonicalUrl,smallImagePath,mediumImagePath,largeImagePath,brand
fa424cd2-bb22-4d93-8f92-f401593583c1,P130769,.,P130769-donaldson,/Product/P130769-donaldson,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/p130769.700.700.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/p130769.700.700.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/p130769.700.700.jpg,DONALDSON
56a95e94-9efb-4d4c-81dd-6cbea113b996,P185092,.,P185092-donaldson,/Product/P185092-donaldson,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/dba5092.700.700.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/dba5092.700.700.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/dba5092.700.700.jpg,DONALDSON
6f8dacca-9f42-4a6e-a572-391f1c1b2b6a,P633881,1/8-27 NPT MALE TO HOSE BARB WITH FILTER,P633881-donaldson,/Product/P633881-donaldson,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/p633881.700.700.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/p633881.700.700.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/p633881.700.700.jpg,DONALDSON
c90a896d-c5f9-4e43-af6f-62cffec1b992,P633880,1/8-27 NPT X 3/8-24 UNF WITH FILTER AND ORIFICE,P633880-donaldson,/Product/P633880-donaldson,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/p633880.700.700.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/p633880.700.700.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/p633880.700.700.jpg,DONALDSON
716f5854-437e-4f55-b7b0-3b0e519245ae,P640942,2017-2019 FORD F250-F550 6.2L GAS,P640942-donaldson,/Product/P640942-donaldson,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/p640942.700.700.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/p640942.700.700.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/p640942.700.700.jpg,DONALDSON
e48ce143-4c33-40d7-8c21-68f735c999f9,P640941,2017-2019 FORD F250-F550 6.7L DIESEL,P640941-donaldson,/Product/P640941-donaldson,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/p640941.700.700.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/p640941.700.700.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/p640941.700.700.jpg,DONALDSON
81723dac-8288-46f6-93d9-e5eb1b1c985e,G082526,90 DEGREE OULET WITH SAFETY,G082526-donaldson,/Product/G082526-donaldson,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/g082526.700.700.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/g082526.700.700.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/g082526.700.700.jpg,DONALDSON
9110f95a-32b6-45f5-a24a-9af9c5d7f8b3,G042545,90 DEGREE OUTLET,G042545-donaldson,/Product/G042545-donaldson,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/g042545.700.700.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/g042545.700.700.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/g042545.700.700.jpg,DONALDSON
fcdb08d8-b652-4b88-b549-9f94c89cc039,G065411,90 DEGREE OUTLET WITH SAFETY,G065411-donaldson,/Product/G065411-donaldson,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/g065411.700.700.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/g065411.700.700.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/g065411.700.700.jpg,DONALDSON
06c1fd6d-e05b-4970-86e8-f09ae36604ba,G090219,90 DEGREE OUTLET WITH SAFETY,G090219-donaldson,/Product/G090219-donaldson,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/g090219.700.700.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/g090219.700.700.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/donaldson/g090219.700.700.jpg,DONALDSON
