id,productNumber,productTitle,urlSegment,canonicalUrl,smallImagePath,mediumImagePath,largeImagePath,brand
00acb992-6169-46d9-93b1-99eed58b9f2b,AAPN75GHT,ADJUST-A-POWER NOZZLE,AAPN75GHT-DIXON-VALVE-COUPLING,/Product/AAPN75GHT-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/adjust-a-power_aapn75ght_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/adjust-a-power_aapn75ght_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/adjust-a-power_aapn75ght_full size.jpg,DIXON VALVE & COUPLING
49ca4d38-e22f-46e7-83f9-ab3ffa49edbd,AL414,ADJUSTABLE NOZZLE HOLDER,AL414-DIXON-VALVE-COUPLING,/Product/AL414-DIXON-VALVE-COUPLING,https://s3.amazonaws.com/insite-commerce-sandbox-perfectionservo-e5328206/userfiles/images/products/logo-160x169.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/images/image-not-available_lg_900x900%20(1).png,https://s3.amazonaws.com/insite-commerce-sandbox-perfectionservo-e5328206/userfiles/images/products/logo-500x500.jpg,DIXON VALVE & COUPLING
5325cd51-849b-4e0a-bdf1-edcb197f4ac0,AL702,BALANCE RELEASE VALVE,AL702-DIXON-VALVE-COUPLING,/Product/AL702-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/balance release valve_al702_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/balance release valve_al702_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/balance release valve_al702_full size.jpg,DIXON VALVE & COUPLING
215fbe00-84f7-41e7-bc3c-a9960b3a76d2,BL066NS,BALL NOZZLE FOR BULK DELIVERY FEMALE NPT,BL066NS-DIXON-VALVE-COUPLING,/Product/BL066NS-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle without spout_bl072ns_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle without spout_bl072ns_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle without spout_bl072ns_full size.jpg,DIXON VALVE & COUPLING
1a9db171-46b5-4bd8-b73c-32c981c6b2c8,BL072NS,BALL NOZZLE FOR BULK DELIVERY FEMALE NPT,BL072NS-DIXON-VALVE-COUPLING,/Product/BL072NS-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle without spout_bl072ns_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle without spout_bl072ns_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle without spout_bl072ns_full size.jpg,DIXON VALVE & COUPLING
d0f609fd-b440-4bb1-b580-78819721073a,BL068NS,BALL NOZZLE FOR BULK DELIVERY FEMALE NPT,BL068NS-DIXON-VALVE-COUPLING,/Product/BL068NS-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle without spout_bl072ns_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle without spout_bl072ns_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle without spout_bl072ns_full size.jpg,DIXON VALVE & COUPLING
2faec05b-622d-44c8-862a-81daf62936af,BL-RK102,BALL NOZZLE FOR BULK DELIVERY REPAIR KITS/PARTS,BL-RK102-DIXON-VALVE-COUPLING,/Product/BL-RK102-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle repair kit_bl-rk102_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle repair kit_bl-rk102_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle repair kit_bl-rk102_full size.jpg,DIXON VALVE & COUPLING
0ecd082a-bb9d-4795-b89a-e9ffa2484127,BL-RK11,BALL NOZZLE FOR BULK DELIVERY REPAIR KITS/PARTS,BL-RK11-DIXON-VALVE-COUPLING,/Product/BL-RK11-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle repair kit_bl-rk11_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle repair kit_bl-rk11_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle repair kit_bl-rk11_full size.jpg,DIXON VALVE & COUPLING
d2e40ce9-17d4-4d29-a547-3771e1cc87ab,BL-RK112,BALL NOZZLE FOR BULK DELIVERY REPAIR KITS/PARTS,BL-RK112-DIXON-VALVE-COUPLING,/Product/BL-RK112-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle repair kit_bl-rk11_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle repair kit_bl-rk11_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle repair kit_bl-rk11_full size.jpg,DIXON VALVE & COUPLING
8cd544e4-73ab-4fde-982b-7e63c42f8ca6,BL005,BALL NOZZLE FOR BULK DELIVERY REPAIR KITS/PARTS,BL005-DIXON-VALVE-COUPLING,/Product/BL005-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/swivel nut adapter_bl002_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/swivel nut adapter_bl002_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/swivel nut adapter_bl002_full size.jpg,DIXON VALVE & COUPLING
00567e12-7bb3-4e5b-93d3-127ae7a6a08a,SWMF-RK6,BALL NOZZLE FOR BULK DELIVERY REPAIR KITS/PARTS,SWMF-RK6-DIXON-VALVE-COUPLING,/Product/SWMF-RK6-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle repair kit_swmf-rk6_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle repair kit_swmf-rk6_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle repair kit_swmf-rk6_full size.jpg,DIXON VALVE & COUPLING
43747fcc-5250-4adf-a2f9-935e10f7840f,SWMF-RK42,BALL NOZZLE FOR BULK DELIVERY REPAIR KITS/PARTS,SWMF-RK42-DIXON-VALVE-COUPLING,/Product/SWMF-RK42-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle repair kit_swmf-rk42_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle repair kit_swmf-rk42_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/ball nozzle repair kit_swmf-rk42_full size.jpg,DIXON VALVE & COUPLING
