id,productNumber,productTitle,urlSegment,canonicalUrl,smallImagePath,mediumImagePath,largeImagePath,brand
956f6845-20f4-4f30-8af2-894498d7b2f2,70020106111,"1A1 SERIES FILTER HOUSING 1A1, 4410901, ALUMINUM, 1/CASE",70020106111-Solventum-formerly-3M-Filtration,/Product/70020106111-Solventum-formerly-3M-Filtration,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1a1-series-filter-housings-paint-and-coatings.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1a1-series-filter-housings-paint-and-coatings.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1a1-series-filter-housings-paint-and-coatings.jpg,"SOLVENTUM, FORMERLY 3M FILTRATION"
c193dae6-008d-4ead-b406-f3f25604b16f,70020105980,"1B SERIES FILTER HOUSING 1B1, 4029211, 9 3/4 IN, 1/CASE",70020105980-Solventum-formerly-3M-Filtration,/Product/70020105980-Solventum-formerly-3M-Filtration,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1b1-series-filter-housing-general-industrial.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1b1-series-filter-housing-general-industrial.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1b1-series-filter-housing-general-industrial.jpg,"SOLVENTUM, FORMERLY 3M FILTRATION"
fdeab63d-1b4f-49c9-a3d4-07379809f366,70020106004,"1B SERIES FILTER HOUSING 1B1, 4029411, 9 3/4 IN, 1/CASE",70020106004-Solventum-formerly-3M-Filtration,/Product/70020106004-Solventum-formerly-3M-Filtration,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1b1-series-filter-housing-general-industrial.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1b1-series-filter-housing-general-industrial.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1b1-series-filter-housing-general-industrial.jpg,"SOLVENTUM, FORMERLY 3M FILTRATION"
d8900026-54c6-4f45-8aec-edcbd5fbcc05,70020105998,"1B SERIES FILTER HOUSING 1B2, 4029212, 9 3/4 IN, 1/CASE",70020105998-Solventum-formerly-3M-Filtration,/Product/70020105998-Solventum-formerly-3M-Filtration,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1b1-series-filter-housing-general-industrial.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1b1-series-filter-housing-general-industrial.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1b1-series-filter-housing-general-industrial.jpg,"SOLVENTUM, FORMERLY 3M FILTRATION"
d3715568-ad2b-4e29-a704-3226b7caa0cd,70020106012,"1B SERIES FILTER HOUSING 1B2, 4029412, 9 3/4 IN, 1/CASE",70020106012-Solventum-formerly-3M-Filtration,/Product/70020106012-Solventum-formerly-3M-Filtration,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1b1-series-filter-housing-general-industrial.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1b1-series-filter-housing-general-industrial.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1b1-series-filter-housing-general-industrial.jpg,"SOLVENTUM, FORMERLY 3M FILTRATION"
20e9f486-232d-42f9-b752-34c11b0afb12,70020105964,"1B SERIES FILTER HOUSING 1BG1, 4028211, 4 7/8 IN, 1/CASE",70020105964-Solventum-formerly-3M-Filtration,/Product/70020105964-Solventum-formerly-3M-Filtration,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1b1-series-filter-housing-general-industrial.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1b1-series-filter-housing-general-industrial.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1b1-series-filter-housing-general-industrial.jpg,"SOLVENTUM, FORMERLY 3M FILTRATION"
30b1ab59-68e3-4483-9956-d219bedefd78,70020106293,"1H SERIES FILTER HOUSING 1H1, 4464310, 1/CASE",70020106293-Solventum-formerly-3M-Filtration,/Product/70020106293-Solventum-formerly-3M-Filtration,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1h1-filter-housings-industrial-general-industrial.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1h1-filter-housings-industrial-general-industrial.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1h1-filter-housings-industrial-general-industrial.jpg,"SOLVENTUM, FORMERLY 3M FILTRATION"
5cbb4a16-18c5-48b0-94f7-59123dece284,69811-42P,1M REPLACEMENT SUMP,69811-42P-Solventum-formerly-3M-Filtration,/Product/69811-42P-Solventum-formerly-3M-Filtration,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/3m-logo_300.png,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/3m-logo_300.png,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/3m-logo_300.png,"SOLVENTUM, FORMERLY 3M FILTRATION"
67f55674-9eae-47ac-89d5-f7f28dbbc0d2,70020347954,"1M SERIES FILTER HOUSING 1M1, 4706311, 1 HIGH, POLYPROPLENE, DOE, 1/CASE",70020347954-Solventum-formerly-3M-Filtration,/Product/70020347954-Solventum-formerly-3M-Filtration,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1m1-housing.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1m1-housing.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/3m/3m-1m1-housing.jpg,"SOLVENTUM, FORMERLY 3M FILTRATION"
35314dca-5ef5-4c57-985b-bb45b817badd,70020347970,"1M SERIES FILTER HOUSING 1M1, 4706312, 1 HIGH, POLYPROPLENE, DOE, 1/CASE",70020347970-Solventum-formerly-3M-Filtration,/Product/70020347970-Solventum-formerly-3M-Filtration,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/3m-logo_300.png,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/3m-logo_300.png,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/brand/3m-logo_300.png,"SOLVENTUM, FORMERLY 3M FILTRATION"
