id,productNumber,productTitle,urlSegment,canonicalUrl,smallImagePath,mediumImagePath,largeImagePath,brand
2cf52b9d-26af-4813-b32c-6a603cd69ab7,FRXCAP,"2"" HIGH VOLUME FLOMAX DIESEL FUEL CAP FOR RECEIVER",FRXCAP-DIXON-VALVE-COUPLING,/Product/FRXCAP-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/diesel fuel receiver cap_frxcap_full size_0.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/diesel fuel receiver cap_frxcap_full size_0.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/diesel fuel receiver cap_frxcap_full size_0.jpg,DIXON VALVE & COUPLING
b0645580-be8e-4658-acf8-f42efce0ce4f,FX1500P,"2"" HIGH VOLUME FLOMAX DIESEL FUEL NOZZLE",FX1500P-DIXON-VALVE-COUPLING,/Product/FX1500P-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/flomax fuel nozzle_fx1500p_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/flomax fuel nozzle_fx1500p_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/flomax fuel nozzle_fx1500p_full size.jpg,DIXON VALVE & COUPLING
7d854905-e825-40f3-ae1a-07d8d6f9164d,FX1500S,"2"" HIGH VOLUME FLOMAX DIESEL FUEL NOZZLE",FX1500S-DIXON-VALVE-COUPLING,/Product/FX1500S-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/diesel fuel nozzle_fx1500s_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/diesel fuel nozzle_fx1500s_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/diesel fuel nozzle_fx1500s_full size.jpg,DIXON VALVE & COUPLING
513d0499-fe9a-4fc3-a3cb-bcd88fe949b3,FX1500SP,"2"" HIGH VOLUME FLOMAX DIESEL FUEL NOZZLE",FX1500SP-DIXON-VALVE-COUPLING,/Product/FX1500SP-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/diesel fuel nozzle_fx1500sp_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/diesel fuel nozzle_fx1500sp_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/diesel fuel nozzle_fx1500sp_full size.jpg,DIXON VALVE & COUPLING
4e2b9167-b980-4fd8-bf0d-833048eceebe,FX1500,"2"" HIGH VOLUME FLOMAX DIESEL FUEL NOZZLE",FX1500-DIXON-VALVE-COUPLING,/Product/FX1500-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/flomax fuel nozzle_fx1500_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/flomax fuel nozzle_fx1500_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/flomax fuel nozzle_fx1500_full size.jpg,DIXON VALVE & COUPLING
76978a47-d123-475e-9c54-4e49cc64067c,FRX-C,"2"" HIGH VOLUME FLOMAX DIESEL FUEL RECEIVER",FRX-C-DIXON-VALVE-COUPLING,/Product/FRX-C-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/diesel fuel receiver with cap_fr-rs-c_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/diesel fuel receiver with cap_fr-rs-c_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/diesel fuel receiver with cap_fr-rs-c_full size.jpg,DIXON VALVE & COUPLING
3d2496ea-278b-4a17-bbc0-e72d8d6790b9,FRX,"2"" HIGH VOLUME FLOMAX DIESEL FUEL RECEIVER",FRX-DIXON-VALVE-COUPLING,/Product/FRX-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/diesel fuel receiver_fr-rs_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/diesel fuel receiver_fr-rs_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/diesel fuel receiver_fr-rs_full size.jpg,DIXON VALVE & COUPLING
4554c452-24e7-4c1a-85dd-8694a14d6240,FX1500PLUG,"2"" HIGH VOLUME FLOMAX DIESEL FUEL SEALING PLUG",FX1500PLUG-DIXON-VALVE-COUPLING,/Product/FX1500PLUG-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/sealing plug_fn600b_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/sealing plug_fn600b_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/sealing plug_fn600b_full size.jpg,DIXON VALVE & COUPLING
e5905b03-e22e-4c3d-9535-022462d5c930,400-C-INSERTAL,ABRASION RESISTANT INSERT,400-C-INSERTAL-DIXON-VALVE-COUPLING,/Product/400-C-INSERTAL-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/abrasion resistant insert_400-a-insert_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/abrasion resistant insert_400-a-insert_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/abrasion resistant insert_400-a-insert_full size.jpg,DIXON VALVE & COUPLING
3e9d29be-7801-42ab-803b-683434b7305a,400-A-INSERT,ABRASION RESISTANT INSERT,400-A-INSERT-DIXON-VALVE-COUPLING,/Product/400-A-INSERT-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/abrasion resistant insert_400-a-insert_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/abrasion resistant insert_400-a-insert_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/abrasion resistant insert_400-a-insert_full size.jpg,DIXON VALVE & COUPLING
c00efe3b-b2d5-4753-af3e-0eeb2f328bb9,400-C-INSERTMI,ABRASION RESISTANT INSERT,400-C-INSERTMI-DIXON-VALVE-COUPLING,/Product/400-C-INSERTMI-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/abrasion resistant insert_400-a-insert_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/abrasion resistant insert_400-a-insert_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/abrasion resistant insert_400-a-insert_full size.jpg,DIXON VALVE & COUPLING
f5f45efe-d150-4ee4-9172-c2b412fd43f6,VR6000-6,ADAPTER INLET,VR6000-6-DIXON-VALVE-COUPLING,/Product/VR6000-6-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/repair kit single part image_2013_full size_3.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/repair kit single part image_2013_full size_3.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/repair kit single part image_2013_full size_3.jpg,DIXON VALVE & COUPLING
418c29f4-f64c-4cb6-9cc1-3f9569268c36,400-A-SSINSERT,ADAPTER WITH ABRASION RESISTANT INSERT,400-A-SSINSERT-DIXON-VALVE-COUPLING,/Product/400-A-SSINSERT-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/frac adapter with gasket inside angle_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/frac adapter with gasket inside angle_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/frac adapter with gasket inside angle_full size.jpg,DIXON VALVE & COUPLING
9a940491-fd38-4431-a81c-13db0bb4bd0f,400-A-MIINSERT,ADAPTER WITH ABRASION RESISTANT INSERT,400-A-MIINSERT-DIXON-VALVE-COUPLING,/Product/400-A-MIINSERT-DIXON-VALVE-COUPLING,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/adapter with insert_400-a-miinsert_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/adapter with insert_400-a-miinsert_full size.jpg,https://d36z6dgmsq8u8z.cloudfront.net/userfiles/assets/dixon/adapter with insert_400-a-miinsert_full size.jpg,DIXON VALVE & COUPLING
